"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2019","Tyrone Taylor","Brewers","15","10","12","4","2","2","0","0","1","1","1","0","1","1","0","0","0","0","0",".400","8.3 %","8.3 %","1.00",".500",".600","1.100",".200",".444","3","1.5",".465","0.8","190","0.0","-0.1","0.1","0","94","51","207","22.2 %","44.4 %","33.3 %","44.4 %","22.2 %","33.3 %","0.0 %","13675"
"2016","Justin Ruggiano","Mets","8","20","22","7","5","0","0","2","4","6","2","0","9","0","0","0","1","0","1",".350","9.1 %","40.9 %","0.22",".409",".650","1.059",".300",".556","5","2.3",".446","2.5","187","-0.4","0.0","-0.2","107","105","129","81","63.6 %","18.2 %","18.2 %","9.1 %","54.6 %","36.4 %","50.0 %","7620"
"2019","Lane Thomas","Cardinals","34","38","44","12","7","0","1","4","6","12","4","0","8","2","0","0","1","1","1",".316","9.1 %","18.2 %","0.50",".409",".684","1.093",".368",".308","10","4.8",".445","4.9","181","-0.3","0.2","0.0","75","103","123","109","43.3 %","36.7 %","20.0 %","30.0 %","36.7 %","33.3 %","50.0 %","16939"
"2017","Charlie Blackmon","Rockies","159","644","725","213","127","35","14","37","137","104","65","9","135","10","3","3","4","14","10",".331","9.0 %","18.6 %","0.48",".399",".601","1.000",".270",".371","146","57.2",".414","6.4","142","-1.9","3.0","0.9","105","100","109","92","39.0 %","43.9 %","17.1 %","24.9 %","31.7 %","43.5 %","19.6 %","7859"
"2014","Andrew McCutchen","Pirates","146","548","648","172","103","38","6","25","89","83","84","8","115","10","6","0","9","18","3",".314","13.0 %","17.7 %","0.73",".410",".542",".952",".228",".355","120","50.5",".412","5.8","168","1.8","-1.5","1.2","121","166","89","89","40.6 %","47.6 %","11.9 %","23.2 %","32.6 %","44.2 %","13.7 %","9847"
"2019","Sam Hilliard","Rockies","27","77","87","21","8","4","2","7","13","13","9","0","23","1","0","0","1","2","0",".273","10.3 %","26.4 %","0.39",".356",".649","1.006",".377",".298","17","6.5",".407","6.8","138","0.4","0.3","0.0","110","117","85","99","37.0 %","44.4 %","18.5 %","14.8 %","31.5 %","53.7 %","33.3 %","17954"
"2019","Abraham Almonte","Diamondbacks","17","31","38","9","4","3","1","1","11","4","7","0","8","0","0","0","1","0","0",".290","18.4 %","21.1 %","0.88",".421",".548",".969",".258",".364","8","2.8",".406","5.1","151","0.0","1.4","0.1","86","208","120","101","43.5 %","30.4 %","26.1 %","26.1 %","26.1 %","47.8 %","14.3 %","5486"
"2019","Ketel Marte","Diamondbacks","144","569","628","187","110","36","9","32","97","92","53","2","86","4","2","0","7","10","2",".329","8.4 %","13.7 %","0.62",".389",".592",".981",".264",".342","125","46.1",".405","5.9","150","0.8","2.9","0.5","98","95","102","100","41.9 %","42.5 %","15.7 %","20.8 %","35.5 %","43.7 %","19.0 %","13613"
"2017","Tommy Pham","Cardinals","128","444","530","136","89","22","2","23","95","73","71","0","117","10","3","2","18","25","7",".306","13.4 %","22.1 %","0.61",".411",".520",".931",".214",".368","99","34.5",".398","6.0","149","1.6","4.3","-0.6","74","149","108","117","35.5 %","49.1 %","15.4 %","28.3 %","34.9 %","36.8 %","26.7 %","2967"
"2016","Trea Turner","Nationals","73","307","324","105","70","14","8","13","53","40","14","0","59","1","2","0","1","33","6",".342","4.3 %","18.2 %","0.24",".370",".567",".937",".225",".388","59","20.6",".395","8.7","146","4.0","0.7","0.9","93","50","119","96","34.8 %","48.0 %","17.2 %","22.0 %","41.2 %","36.8 %","16.7 %","16252"
