Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Zack Cozart,Reds,SS,122,438,507,130,75,24,7,24,80,63,62,0,78,3,4,0,5,3,0,0.297,12.20%,15.40%,0.79,0.385,0.548,0.933,0.251,5.3,0.312,92,30.5,0.392,140,0.2,-2.7,1,136,95,86,120,15.60%,48.90%,34.60%,16.50%,19.50%,49.70%,30.80%,2616
2018,Trevor Story,Rockies,SS,157,598,656,174,89,42,6,37,88,108,47,3,168,7,4,0,12,27,6,0.291,7.20%,25.60%,0.28,0.348,0.567,0.914,0.276,6.3,0.345,114,37,0.384,128,2.6,-0.9,0.1,80,104,79,123,19.90%,43.30%,34.30%,22.40%,15.90%,39.60%,44.50%,12564
2016,Trevor Story,Rockies,SS,97,372,415,101,49,21,4,27,67,72,35,2,130,5,1,2,5,8,5,0.272,8.40%,31.30%,0.27,0.341,0.567,0.909,0.296,5.9,0.343,70,21.2,0.38,122,-0.6,1.4,1.1,98,111,66,138,23.70%,40.00%,33.10%,26.90%,14.30%,40.80%,44.90%,12564
2016,Corey Seager,Dodgers,SS,157,627,687,193,122,40,5,26,105,72,54,5,133,4,2,0,12,3,3,0.308,7.90%,19.40%,0.41,0.365,0.512,0.877,0.204,4.1,0.355,112,30.6,0.372,136,-1,2.5,0.9,91,115,104,86,17.90%,37.10%,34.30%,28.60%,12.70%,47.60%,39.70%,13624
2016,Aledmys Diaz,Cardinals,SS,111,404,460,121,73,28,3,17,71,65,41,6,60,7,6,2,10,4,4,0.3,8.90%,13.00%,0.68,0.369,0.51,0.879,0.21,4.3,0.312,74,19.6,0.37,132,-1.1,-1.1,-0.5,103,73,102,114,12.60%,46.30%,30.70%,23.00%,19.00%,49.40%,31.50%,15937
2018,Javier Baez,Cubs,SS,160,606,645,176,93,40,9,34,101,111,29,8,167,5,4,1,10,21,9,0.29,4.50%,25.90%,0.17,0.326,0.554,0.881,0.264,7.1,0.347,103,27.2,0.366,131,0.2,2.9,0.8,50,101,105,92,24.30%,40.50%,33.30%,26.10%,19.40%,44.80%,35.80%,12979
2017,Corey Seager,Dodgers,SS,145,539,613,159,104,33,0,22,85,77,67,5,131,4,3,0,14,4,2,0.295,10.90%,21.40%,0.51,0.375,0.479,0.854,0.184,2.7,0.352,97,22.2,0.364,127,-0.5,4.6,-0.7,121,121,95,94,16.20%,36.50%,35.50%,28.00%,12.90%,43.10%,44.00%,13624
2017,Paul DeJong,Cardinals,SS,108,417,443,119,67,26,1,25,55,65,21,1,124,4,1,0,8,1,0,0.285,4.70%,28.00%,0.17,0.325,0.532,0.857,0.247,2.5,0.349,68,14.2,0.359,123,0,-3.3,0.9,53,114,76,122,19.80%,46.90%,32.70%,20.40%,21.40%,42.20%,36.40%,18015
2016,Jonathan Villar,Brewers,SS,156,589,679,168,108,38,3,19,92,63,79,4,174,2,4,5,7,62,18,0.285,11.60%,25.60%,0.45,0.369,0.457,0.826,0.171,6.4,0.373,101,21,0.356,120,4.6,-1.2,0.1,135,96,124,71,19.60%,32.30%,41.80%,25.90%,20.50%,44.30%,35.10%,10071
2018,Manny Machado,Dodgers,SS,66,267,296,73,44,14,2,13,36,42,25,6,53,2,2,0,12,6,1,0.273,8.40%,17.90%,0.47,0.338,0.487,0.825,0.213,5,0.296,42,7.5,0.346,121,0.6,1.8,-0.9,94,89,97,110,15.70%,40.70%,37.50%,21.80%,17.10%,40.70%,42.10%,11493
